# Fundamentals snapshot — source: stockanalysis.com, prices/close Jun 24 2026.
# Reproducible INPUT for scoring/score_holdings.py. Refresh by copying this file
# to a new date and updating the numbers (the env yfinance feed is corrupted).
#
# Columns:
#   mktcap_b          : market cap, USD billions. FX: EUR ~1.08, KRW ~1350/USD,
#                       HKD ~7.8/USD (Korea/HK names converted from local currency).
#   fwd_rev_growth    : analyst 3Y revenue growth forecast, %
#   ttm_rev_growth    : trailing-12m revenue growth YoY, % (blank = unknown -> no re-accel bonus)
#   fwd_eps_growth    : analyst 3Y EPS growth forecast, %
#   gross_margin      : %, ttm
#   net_margin        : GAAP profit margin %, ttm. For IONQ/NBIS/WDC/APLD the GAAP
#                       figure is distorted by one-off tax/fair-value/pretax items,
#                       so the OPERATING margin is used to reflect true profitability.
#                       Blank for pre-/near-pre-revenue names (SMR/NNE/ASTS) -> neutral.
#   fcf_positive      : 1 if trailing FCF > 0 else 0
#   peg               : PEG ratio (blank = n/a)
#   pct_above_200dma  : (price - 200DMA)/200DMA * 100  (negative = below = washed out)
#   pct_below_52w_high: blank (not captured this snapshot; P8 uses 200DMA distance)
#   eps_beat_rate     : fraction of last ~8 qtrs with an EPS beat (0..1). APPROXIMATE —
#                       seeded only for well-documented serial beaters; refresh from
#                       each name's stockanalysis.com /earnings/ page. Blank = neutral.
#   eps_beat_streak   : consecutive EPS beats (caps the surprise bonus)
ticker,mktcap_b,fwd_rev_growth,ttm_rev_growth,fwd_eps_growth,gross_margin,net_margin,fcf_positive,peg,pct_above_200dma,pct_below_52w_high,eps_beat_rate,eps_beat_streak
CRDO,50.16,50.46,,44.25,68.04,35.37,1,0.97,72.6,,0.875,6
ALAB,68.55,48.22,,43.34,75.99,26.72,1,2.38,110.9,,1.0,5
VRT,121.54,28.21,,39.04,37.15,14.37,1,1.43,39.4,,0.875,6
ANET,203.66,24.35,,22.22,63.54,38.32,1,2.44,13.5,,1.0,8
COHR,76.79,30.53,,52.48,36.99,7.10,0,1.17,71.8,,0.75,4
FN,20.36,26.16,,27.85,12.04,9.94,1,,10.5,,0.75,4
CAMT,7.68,17.69,,18.12,50.97,9.63,,2.97,17.6,,0.75,4
BESI.AS,25.05,39.13,,70.40,63.27,24.00,1,0.98,59.9,,0.625,3
SIMO,10.91,35.14,,48.94,48.09,16.02,0,0.63,130.8,,0.75,4
CDNS,102.71,14.52,,15.36,86.08,21.18,1,3.19,14.0,,0.875,8
SMHN.DE,1.92,11.88,,22.35,34.79,6.88,0,1.68,75.4,,0.5,2
GEV,284.21,15.87,,27.69,20.28,23.81,1,1.81,35.6,,0.875,5
CCJ,46.44,7.39,,32.88,36.78,18.39,1,,3.1,,0.5,2
ETN,157.10,11.95,,14.23,37.10,13.99,1,3.00,9.4,,0.625,3
HUBB,27.38,11.23,,12.69,35.68,15.10,1,2.51,9.5,,0.625,3
PWR,105.32,16.94,,22.43,15.10,3.67,1,2.78,32.8,,0.75,4
OKLO,9.41,,,,,-100,0,,-36.3,,,
NOW,96.74,19.74,,20.23,76.56,12.59,1,0.87,-30.8,,0.875,8
ZS,20.58,19.42,,18.44,76.74,-2.44,1,1.24,-39.2,,0.75,5
CRWD,171.33,22.25,,29.67,75.14,-0.60,1,4.62,36.4,,0.875,8
PANW,232.49,19.26,,12.87,71.96,7.95,1,4.80,44.4,,0.75,6
DDOG,79.25,23.62,,20.17,79.91,3.69,1,3.33,45.8,,0.875,8
TMDX,2.68,18.50,,20.53,59.09,27.04,1,,-32.3,,0.625,2
AXON,36.81,30.15,,26.07,59.46,6.90,1,1.86,-15.4,,0.875,8
RKLB,49.44,39.51,,,36.56,-26.87,0,,14.6,,0.5,2
IONQ,20.01,69.96,,,36.11,-413,0,,8.3,,,
SYM,23.76,25.89,,-23.56,20.41,-1.12,1,0.24,-32.0,,0.5,2
NBIS,66.48,242.77,,,72.06,-70,0,,102.6,,,
MSFT,2710,17.23,,18.14,68.31,39.34,1,1.22,-18.7,,0.875,7
GOOGL,4210,19.23,,16.75,60.37,37.92,1,1.74,10.4,,0.75,4
AMZN,2520,13.96,,20.57,50.60,12.22,0,1.31,0.6,,0.75,4
META,1420,20.72,,12.00,81.94,32.84,1,0.81,-14.5,,0.875,6
ORCL,453.76,39.40,,27.29,65.82,25.37,0,0.69,-22.8,,0.625,2
AAPL,4300,10.43,,13.04,47.86,27.15,1,2.80,8.9,,0.875,6
ADI,201.24,18.97,,29.59,64.49,26.01,1,1.33,31.9,,0.75,4
AMAT,467.62,19.93,,27.83,48.96,29.31,1,1.60,81.5,,0.875,6
KLAC,314.13,17.03,,21.71,61.45,35.66,1,2.82,63.7,,0.875,6
LRCX,468.71,25.02,,33.24,49.98,30.94,1,2.25,74.9,,0.875,7
SNPS,88.83,19.40,,16.49,82.60,8.91,1,1.22,1.4,,0.75,4
CSCO,471.91,8.88,,11.25,64.30,19.69,1,2.84,43.5,,0.75,4
SNOW,78.31,26.83,,42.87,67.15,-23.79,1,3.42,9.8,,0.75,4
BWXT,18.84,12.54,,13.41,22.66,10.20,1,3.56,4.2,,0.625,3
PNR,12.09,3.95,,8.61,41.22,15.97,1,1.26,-22.4,,0.625,3
SIE.DE,225.83,6.40,,4.06,38.84,9.69,1,3.19,11.7,,0.5,2
RBRK,15.34,22.34,,,80.58,-20.25,1,,11.3,,,
S,5.18,17.96,,50.90,73.25,-30.38,1,0.39,-2.3,,,
KLIC,6.45,28.02,,177.76,49.80,7.16,1,,92.3,,,
NET,78.99,28.14,,31.75,73.33,-3.72,1,4.00,7.6,,,
ICHR,3.12,15.18,,67.46,12.00,-5.28,0,0.72,125.7,,,
VPG,1.77,8.82,,84.45,39.24,1.85,0,5.83,147.9,,,
ARM,383.53,29.07,,31.32,97.54,18.37,1,5.36,109.4,,,
NVMI,16.59,17.92,,18.84,57.31,29.21,1,2.64,26.8,,,
MTSI,28.46,23.11,,32.56,55.68,16.46,1,2.00,65.7,,,
KTOS,8.98,24.52,,36.31,22.89,2.08,0,,-39.9,,,
LSCC,19.72,29.17,,45.57,68.44,3.46,1,2.08,54.6,,,
PENG,3.28,14.78,,17.60,28.32,4.07,1,,134.2,,,
OKTA,20.61,9.74,,11.38,77.44,8.24,1,1.16,35.3,,,
AMKR,20.51,10.82,,24.39,14.43,6.17,1,1.83,69.7,,,
TER,66.87,28.25,,46.71,58.70,22.55,1,1.92,65.5,,,
MCHP,50.13,18.07,,41.70,57.73,4.88,1,0.97,26.6,,,
ONTO,16.03,24.05,,33.45,54.19,10.33,1,1.17,62.1,,,
PLTR,272.09,53.03,,58.97,84.07,43.67,1,1.40,-28.8,,,
CEG,95.69,13.51,,21.86,23.26,12.69,1,1.23,-15.9,,,
000660.KS,1354,76.31,,94.70,68.34,56.89,1,0.08,208.0,,,
TXN,275.86,13.04,,27.02,57.32,29.11,1,1.75,42.9,,,
QCOM,208.07,1.58,,0.07,54.80,22.31,1,7.86,17.8,,,
AAOI,11.79,,,,29.64,-8.55,0,,86.3,,,
SNDK,283.51,83.99,,298.20,56.04,34.19,1,0.04,197.7,,,
WDC,221.92,34.49,,73.11,45.43,31.26,1,0.66,134.1,,,
STX,224.72,33.10,,73.07,41.57,21.60,1,0.65,128.5,,,
005930.KS,1601,40.10,,109.77,47.68,21.46,1,0.08,113.6,,,
1810.HK,75.7,12.66,,10.27,22.06,7.96,1,1.23,-42.3,,,
LEU,3.37,-0.22,,1.13,25.67,13.40,0,21.92,-30.8,,,
TEM,9.33,22.17,,,63.39,-22.20,0,,-18.6,,,
CRWV,55.04,97.99,,,69.38,-25.57,0,,0.2,,,
APLD,12.00,123.94,,,45.41,-11.92,0,,32.6,,,
SMR,3.73,114.51,,,23.84,,0,,-49.8,,,
NNE,1.21,,,,,,0,,-25.4,,,
CRCL,17.64,25.60,,9.67,8.11,-2.76,1,,-28.1,,,
ASTS,26.40,198.40,,,44.82,,0,,-15.9,,,
