# 2023 BACKTEST snapshot — point-in-time, NO post-2023 data. Source: stockanalysis.com
# Each name anchored to the fiscal year representing its 2023 operations; valuation
# (peg/ps/mktcap) taken at that SAME fiscal year-end (real point-in-time, from the
# /financials/ratios/ FY2023 column). NVDA/WMT->FY ending Jan'24, ARM->FY Mar'24,
# AVGO/AMAT->Oct'23, AAPL/COST->Sep'23, MSFT/LRCX/KLAC->Jun'23, CSCO->Jul'23, MU->Aug'23.
#   fwd_rev_growth / fwd_eps_growth : RECONSTRUCTED late-2023 analyst 3Y consensus.
#   pct_above_200dma : RECONSTRUCTED price vs trailing-200d MA at the anchor date.
#   peg / ps_ratio / mktcap_b : POINT-IN-TIME from the source FY2023 column (real).
#   net_margin : GAAP profit margin; OPERATING margin used for TSLA (GAAP net inflated
#                by a one-off ~$5B deferred-tax benefit in FY2023).
#   MU FY2023 (Aug'23) = memory trough: real net loss, negative FCF, no PEG.
#   INTC FY2023 = negative FCF. ARM: <200 trading days listed -> 200DMA blank.
#   rev_growth_hist / net_margin_hist : trailing full-FY series up to the anchor only.
ticker,mktcap_b,fwd_rev_growth,ttm_rev_growth,fwd_eps_growth,gross_margin,net_margin,fcf_positive,peg,ps_ratio,pct_above_200dma,pct_below_52w_high,eps_beat_rate,eps_beat_streak,rev_growth_hist,net_margin_hist
NVDA,1503.78,40,125.86,45,72.72,48.85,1,0.74,24.68,35,,,,125.86|0.22|61.40,48.85|16.19|36.23
AAPL,2662.33,5,-2.80,8,44.13,25.31,1,2.56,6.95,4,,,,-2.80|7.79|33.26,25.31|25.31|25.88
MSFT,2530.89,14,6.88,15,68.92,34.15,1,2.71,11.94,19,,,,6.88|17.96|17.53,34.15|36.69|36.45
AMZN,1577.59,11,11.83,30,46.98,5.30,1,1.68,2.74,17,,,,11.83|9.40|21.70,5.30|-0.53|7.10
GOOGL,1755.46,11,8.68,17,56.63,24.01,1,1.23,5.71,11,,,,8.68|9.78|41.15,24.01|21.20|29.51
GOOG,1755.46,11,8.68,17,56.63,24.01,1,1.23,5.71,11,,,,8.68|9.78|41.15,24.01|21.20|29.51
AVGO,347.01,15,7.88,15,68.93,39.31,1,1.58,9.69,23,,,,7.88|20.96|14.91,39.31|34.62|24.54
TSLA,791.41,20,18.80,20,18.25,9.19,1,4.16,8.18,8,,,,18.80|51.35|70.67,9.19|16.76|12.12
META,906.49,14,15.69,20,80.76,28.98,1,1.04,6.72,22,,,,15.69|-1.12|37.18,28.98|19.90|33.38
MU,76.79,30,-49.48,35,-9.11,-37.55,0,,4.94,13,,,,-49.48|11.02|29.25,-37.55|28.23|21.02
AMD,238.22,20,-3.90,30,46.12,3.77,1,1.39,10.50,34,,,,-3.90|43.61|68.33,3.77|5.53|19.20
ASML,297.79,15,30.16,18,49.98,28.75,1,,9.77,12,,,,30.16|13.77|33.14,28.75|29.55|30.54
INTC,212.46,8,-14.00,25,40.04,3.09,0,6.42,3.92,44,,,,-14.00|-20.21|1.49,3.09|12.71|25.14
AMAT,109.37,7,2.84,10,46.70,25.86,1,2.24,4.12,3,,,,2.84|11.80|34.07,25.86|25.31|25.53
LRCX,85.70,6,1.17,9,44.62,25.88,1,12.29,4.92,24,,,,1.17|17.78|45.61,25.88|26.73|26.72
CSCO,211.80,5,10.55,6,62.73,22.13,1,2.38,3.72,6,,,,10.55|3.49|1.05,22.13|22.91|21.26
COST,240.99,7,6.76,9,12.26,2.60,1,3.52,0.99,5,,,,6.76|15.83|17.49,2.60|2.61|2.59
ARM,129.99,20,20.68,25,95.24,9.46,1,2.25,40.21,,,,,20.68|-0.89|33.35,9.46|19.56|25.01
KLAC,66.33,8,13.94,11,59.81,32.27,1,3.46,6.32,15,,,,13.94|33.14|19.16,32.27|36.06|30.03
WMT,443.61,4,6.03,8,24.38,2.51,1,3.30,0.68,6,,,,6.03|6.73|2.43,2.51|1.85|2.43
