# 2023 BACKTEST — FULL AI-allocation universe, point-in-time FY2023 snapshot.
# Auto-sourced by scoring/backtest/source_2023.py from stockanalysis.com
# /financials/ pages, pinned to the FY2023 column (fiscalYear/datekey == 2023).
# NO post-2023 data. fwd_rev_growth/fwd_eps_growth/pct_above_200dma/eps_beat_*
# are blank (not on historical pages) -> engine drops + reweights those
# sub-scores (AGENTS.md). Foreign mktcap = ps x FY2023 revenue, FX->USD
# (KRW/1350, HKD/7.8, EUR x1.08). Strategy classification: universe_2023.py.
ticker,mktcap_b,fwd_rev_growth,ttm_rev_growth,fwd_eps_growth,gross_margin,net_margin,fcf_positive,peg,ps_ratio,pct_above_200dma,pct_below_52w_high,eps_beat_rate,eps_beat_streak,rev_growth_hist,net_margin_hist
000660.KS,72.08,,-26.57,,-1.63,-27.81,0,0.46,2.97,,,,,-26.57|3.78|34.79,-27.81|5.0|22.33
005930.KS,385.53,,-14.32,,30.33,5.59,0,0.78,2.01,,,,,-14.32|8.09|18.07,5.59|18.11|14.04
0700.HK,319.34,,9.82,,48.13,18.92,1,1.67,4.09,,,,,9.82|-0.99|16.19,18.92|33.95|40.14
1810.HK,45.51,,-3.24,,21.21,6.45,1,0.43,1.31,,,,,-3.24|-14.7|33.53,6.45|0.88|5.89
9618.HK,41.72,,3.67,,8.77,2.23,1,,0.3,,,,,3.67|9.95|27.59,2.23|0.99|-0.37
9880.HK,4.42,,4.7,,30.61,-116.89,0,,32.64,,,,,4.7|23.38|10.4,-116.89|-96.68|-112.6
9988.HK,230.54,,1.83,,36.85,8.35,1,,2.07,,,,,1.83|18.93,8.35|7.26
AAOI,0.74,,-2.32,,27.07,-25.75,0,,3.39,,,,,-2.32|5.32|-9.83,-25.75|-29.8|-25.6
ABNB,88.08,,18.07,,82.83,48.32,1,4.11,8.88,,,,,18.07|40.17|77.38,48.32|22.54|-5.87
ADBE,278.67,,10.24,,87.87,27.97,1,2.22,14.36,,,,,10.24|11.54|22.67,27.97|27.01|30.55
ADI,79.68,,2.43,,64.01,26.94,1,2.29,6.48,,,,,2.43|64.16|30.61,26.94|22.88|19.0
ADYEY,94.17,,22.25,,100.0,42.95,1,,57.91,,,,,22.25|32.81|46.38,42.95|42.41|46.9
AEHR,0.94,,27.8,,50.41,22.41,1,1.78,14.51,,,,,27.8|206.2|-25.53,22.41|18.59|-12.21
AEIS,4.06,,-10.27,,35.78,7.9,1,1.72,2.45,,,,,-10.27|26.75|2.83,7.9|10.94|9.25
ALB,16.96,,-8.16,,90.55,63.72,0,1.34,2.52,,,,,-8.16|119.96|6.36,63.72|38.46|6.01
AMGN,154.21,,7.09,,70.02,23.83,1,2.61,5.47,,,,,7.09|1.32|2.18,23.83|24.89|22.68
AMKR,8.18,,-8.3,,14.5,5.57,1,0.71,1.26,,,,,-8.3|15.53|21.54,5.57|10.82|10.52
ANET,73.54,,33.76,,61.95,35.62,1,1.86,12.55,,,,,33.76|48.62|27.21,35.62|30.87|28.52
ANF,5.53,,15.76,,62.92,7.84,1,1.26,1.29,,,,,15.76|-0.4|18.79,7.84|0.28|7.27
APLD,0.8,,547.94,,19.87,-160.92,0,,14.49,,,,,547.94,-160.92|-263.03
APP,13.38,,-34.62,,80.64,19.37,1,1.42,7.27,,,,,-34.62|0.86|92.48,19.37|-6.85|1.27
ASX,20.63,,-13.26,,15.77,6.41,1,,1.09,,,,,-13.26|17.7|19.5,6.41|9.63|10.92
AXP,135.45,,14.64,,42.17,17.67,1,1.14,2.86,,,,,14.64|24.96|23.41,17.67|18.18|24.37
BDC,3.18,,-3.62,,38.01,9.66,1,0.86,1.26,,,,,-3.62|13.26|31.34,9.66|10.27|8.64
BESI.AS,10.51,,-19.92,,64.92,30.59,1,1.73,18.15,,,,,-19.92|-3.53|72.8,30.59|33.29|37.69
BHP,151.1,,-17.33,,40.78,26.62,1,,2.81,,,,,-17.33|14.37|46.24,26.62|34.41|24.03
BLK,120.55,,-0.08,,48.05,31.78,1,2.67,6.75,,,,,-0.08|-7.75|19.56,31.78|27.94|32.03
BMY,103.7,,-2.5,,76.24,17.86,1,37.97,2.3,,,,,-2.5|-0.49|9.1,17.86|13.75|15.12
BNTX,25.09,,-77.33,,84.71,23.71,1,,5.78,,,,,-77.33|-8.78|3834.63,23.71|54.5|54.24
BSX,84.68,,12.29,,69.49,11.18,1,2.19,5.95,,,,,12.29|6.68|19.92,11.18|5.5|8.75
BWXT,7.02,,11.8,,24.86,9.87,1,3.45,2.81,,,,,11.8|5.12|0.03,9.87|10.69|14.42
