# 2023 BACKTEST batch 2 — point-in-time, NO post-2023 outcome data. Source: stockanalysis.com
# Anchored to the fiscal year representing 2023 operations; valuation (peg/ps/mktcap/price)
# from that SAME fiscal-close column (real point-in-time). Dec-fiscal -> FY2023(Dec'23);
# ADSK/WDAY -> FY ending Jan'24 (=2023 ops); MCHP/TTWO -> FY ending Mar'23; PAYX -> May'23;
# CPRT -> Jul'23.
#   fwd_rev_growth / fwd_eps_growth : RECONSTRUCTED late-2023 analyst 3Y consensus.
#   pct_above_200dma : RECONSTRUCTED anchor-date price vs trailing-200d MA (soft).
#   peg / ps_ratio / mktcap_b / anchor price : POINT-IN-TIME from source FY column (real).
#   OPERATING-MARGIN PROXY used in net_margin for GAAP-distorted names: TRI (minority/
#     discontinued-ops swings), WDAY (one-off ~$1B tax benefit), MSTR (BTC deferred-tax).
#   GAAP losses kept as-is for TTWO (Zynga amort) and ALNY (pre-profit biotech).
#   EXC + TTWO have negative trailing FCF -> fcf_positive=0.
ticker,mktcap_b,fwd_rev_growth,ttm_rev_growth,fwd_eps_growth,gross_margin,net_margin,fcf_positive,peg,ps_ratio,pct_above_200dma,pct_below_52w_high,eps_beat_rate,eps_beat_streak,rev_growth_hist,net_margin_hist
EXC,35.87,4,13.88,6,41.09,10.71,0,2.39,1.65,-2,,,,13.88|6.35|7.65,10.71|10.77|9.01
MCHP,45.70,8,23.72,10,67.52,26.52,1,0.80,5.42,5,,,,23.72|25.42,26.52|18.85
ODFL,44.17,7,-6.29,9,40.86,21.13,1,2.47,7.53,15,,,,-6.29|19.10|30.91,21.13|22.00|19.68
KDP,46.33,5,5.38,7,54.54,14.72,1,2.64,3.13,-5,,,,5.38|10.83|9.17,14.72|10.21|-0.01
CCEP,30.65,5,5.67,7,36.72,9.12,1,,1.51,10,,,,5.67|25.85|29.77,9.12|8.78|7.18
TTWO,20.15,15,52.64,25,42.72,-21.02,0,0.94,3.77,5,,,,52.64|3.91,-21.02|11.93
IDXX,46.09,9,8.72,11,59.82,23.08,1,2.74,12.59,12,,,,8.72|4.73|18.79,23.08|20.17|23.17
ADSK,54.32,11,9.83,13,90.70,16.48,1,2.04,9.88,12,,,,9.83|14.11|15.73,16.48|16.44|11.33
PYPL,65.83,8,8.19,12,46.03,14.26,1,0.74,2.21,-8,,,,8.19|8.46|18.26,14.26|8.79|16.43
ALNY,24.08,25,76.23,40,83.02,-24.08,1,,13.17,-2,,,,76.23|22.88|71.31,-24.08|-109.04|-101.01
AXON,19.45,22,31.47,25,61.22,11.26,1,4.48,12.46,20,,,,31.47|37.50|26.78,11.26|12.38|-6.95
TRI,87.66,5,2.52,8,39.15,34.32,1,,9.74,8,,,,2.52|4.40|6.08,34.32|27.67|19.57
PAYX,37.90,7,8.57,8,70.98,31.10,1,2.87,7.57,3,,,,8.57|13.68,31.10|30.20
ROP,58.28,9,15.00,11,69.72,22.15,1,6.79,9.43,6,,,,15.00|11.13|20.17,22.15|18.35|16.66
WDAY,76.80,17,16.78,22,75.60,2.52,1,1.34,10.58,18,,,,16.78|20.96|19.01,2.52|-3.57|-2.26
GEHC,35.21,5,6.60,8,40.52,8.25,1,2.18,1.80,10,,,,6.60|4.30|2.45,8.25|10.72|13.04
MSTR,10.65,2,-0.60,5,77.85,-23.18,1,,21.47,40,,,,-0.60|-2.25|6.25,-23.18|-255.53|-153.60
CPRT,42.32,10,10.53,12,44.89,31.99,1,2.17,10.94,12,,,,10.53|30.02|22.08,31.99|31.14|34.78
KHC,45.04,2,0.58,4,33.51,10.68,1,2.60,1.69,-6,,,,0.58|1.70|-0.55,10.68|8.94|3.93
DXCM,47.82,18,24.49,22,63.19,14.95,1,2.92,13.20,5,,,,24.49|18.84|27.08,14.95|11.73|8.86
